English,Dutch,German,Swedish,Danish,Icelandic,Gothic,Proto-Germanic
flax,vlas,flachs,,,,,flahsą
,,flehen,,,,𐌸𐌻𐌰𐌹𐌷𐌰𐌽,flaihaną
flird,,,flärd,,flár,,flaihaz
flone,,,,,fleinn,,flainaz
flesh,vlees,fleisch,fläsk,flæsk,flesk,,flaiski
,,,flest,flest,flestur,,flaistaz
,,,flera,,fleiri,,flaizô
,vlak,flach,flak,,,,flakaz
flack,vlakken,,,,,,flakkōną
flacker,flakkeren,flacken,,flagre,flökra,,flakurōną
flask,fles,flasche,flaska,flaske,flaska,,flaskǭ
flat,,,flat,flad,flatur,,flataz
flet,vlet,fletz,,fled,flet,,flatją
flat,,,,,fletja,,flatjaną
,,,flöja,,fleygja,𐍆𐌻𐌰𐌿𐌲𐌾𐌰𐌽,flaugijaną
flea,vlo,floh,,,fló,,flauhaz
flemish,vlaams,flämisch,,,flaumur,,flaumaz
,vloten,flößen,,fløde,fleyta,,flautijaną
,,,,,fley,,flawją
,vlechten,flechten,fläta,flette,flétta,,flehtaną
fleck,vlek,fleck,fläck,,flekkur,,flekka
fleck,vlekken,flecken,fläcka,,,,flekkōną
fly,vliegen,fliegen,flyga,flyve,fljúga,,fleuganą
fly,vlieg,fliege,,,,,fleugǭ
flee,vlieden,fliehen,fly,fly,flýja,𐌸𐌻𐌹𐌿𐌷𐌰𐌽,fleuhaną
fleet,vliet,fließ,fljut,flyt,fljót,,fleutą
fleet,vlieten,fließen,flyta,flyde,fljóta,,fleutaną
flow,vloeien,,,,flóa,,flōaną
,vloeden,fluten,flöda,fløde,flæða,,flōdijaną
flood,vloed,flut,flod,flod,flóð,𐍆𐌻𐍉𐌳𐌿𐍃,flōduz
,vloeken,fluchen,,,,𐍆𐌻𐍉𐌺𐌰𐌽,flōkaną
floor,vloer,flur,flo,flor,flór,,flōraz
,vleugel,flügel,,,,,flugilaz
,vleug,flug,,,flugur,𐌸𐌻𐌰𐌿𐌷𐍃,flugiz
fledge,vlug,flück,flygg,flyg,fleygur,,flugjaz
,,,fluga,flue,fluga,,flugǭ
flock,,,flock,flok,flokkur,,flukkaz
,,flocken,,,,,flukkōną
,vlonder,,,,,,flunþrą
flounder,,flunder,flundra,flynder,flyðra,,flunþrijǭ
,vlot,fluss,flott,flåd,flot,,flutą
flit,,,flytta,flytte,flytja,,flutjaną
float,,flosse,flotte,flåde,floti,,flutô
float,vlotten,flötzen,flotta,flåde,flota,,flutōną
sneeze,fniezen,,fnysa,fnyse,,,fneusaną
feed,voeden,föden,föda,føde,fæða,𐍆𐍉𐌳𐌾𐌰𐌽,fōdijaną
,,,,,,𐍆𐍉𐌳𐌴𐌹𐌽𐍃,fōdīniz
food,,,föda,føde,fæða,,fōdô
fother,voer,futter,foder,for,fóður,𐍆𐍉𐌳𐍂,fōdrą
fodder,,,fodra,fodre,fóðra,,fōdrōną
fay,voegen,fügen,foga,føje,,,fōgijaną
fire,vuur,feuer,fyr,fyr,fúr,𐍆𐍉𐌽,fōr
,,,före,føre,færi,,fōriją
,voeren,führen,föra,føre,færa,,fōrijaną
,,,fon,forn,fórn,,fōrīniz
fere,,,för,før,fær,,fōriz
,,fuhre,,,,,fōrō
foster,,,foster,foster,,,fōstrą
foster,voedsteren,,fostra,fostre,fóstra,,fōstrōną
foot,voet,fuß,fot,fod,fótur,𐍆𐍉𐍄𐌿𐍃,fōts
,voetspoor,fußspur,fotspår,fodspor,fótspor,,fōtspurą
for-,ver-,ver-,för-,for-,for-,𐍆𐍂𐌰-,fra-
forbear,,,,,,𐍆𐍂𐌰𐌱𐌰𐌹𐍂𐌰𐌽,fraberaną
,verdelen,verteilen,,,,𐍆𐍂𐌰𐌳𐌰𐌹𐌻𐌾𐌰𐌽,fradailijaną
fordeem,verdoemen,,fördöma,,fyrirdæma,,fradōmijaną
,verdragen,vertragen,,,,,fradraganą
fordrive,verdrijven,vertreiben,fördriva,,,,fradrībaną
fret,vreten,fressen,,,,𐍆𐍂𐌰𐌹𐍄𐌰𐌽,fraetaną
forfare,vervaren,verfahren,,,fyrirfara,,frafaraną
forgive,vergeven,vergeben,förgiva,forgive,fyrirgefa,𐍆𐍂𐌰𐌲𐌹𐌱𐌰𐌽,fragebaną
foryield,vergelden,vergelten,,forgælde,,𐍆𐍂𐌰𐌲𐌹𐌻𐌳𐌰𐌽,frageldaną
,,,,,,𐍆𐍂𐌰𐌹𐍃𐌰𐌽,fraisaną
,vrees,freise,,,,,fraisō
fraise,vrezen,freisen,,,,,fraisōną
,,,fresta,friste,freista,,fraistōną
fry,,,frö,frø,frjó,𐍆𐍂𐌰𐌹𐍅,fraiwą
,,,,,frjór,,fraiwijaz
fraked,,,,,fyrirkunna,𐍆𐍂𐌰𐌺𐌿𐌽𐌽𐌰𐌽,frakunnaną
fraked,,,,,,𐍆𐍂𐌰𐌺𐌿𐌽𐌸𐍃,frakunþaz
,,,,,,𐍆𐍂𐌰𐌵𐌹𐌼𐌰𐌽,frakwemaną
,,,,,fyrirkveða,𐍆𐍂𐌰𐌵𐌹𐌸𐌰𐌽,frakweþaną
forlet,verlaten,verlassen,förlåta,,,𐍆𐍂𐌰𐌻𐌴𐍄𐌰𐌽,fralētaną
forlese,verliezen,verlieren,,,,𐍆𐍂𐌰𐌻𐌹𐌿𐍃𐌰𐌽,fraleusaną
,,verlust,,,,𐍆𐍂𐌰𐌻𐌿𐍃𐍄𐍃,fralustiz
,,,lossna,losne,losna,𐍆𐍂𐌰𐌻𐌿𐍃𐌽𐌰𐌽,fraluznaną
fro,,,fram,frem,fram,𐍆𐍂𐌰𐌼,fram
fremd,vreemd,fremd,främmad,fremmed,framandi,𐍆𐍂𐌰𐌼𐌰𐌸𐌴𐌹𐍃,framaþiz
,,,,,,𐍆𐍂𐌰𐌼𐌰𐌸𐌾𐌰𐌽,framaþjaną
frame,,,främja,fremme,fremja,,framjaną
frame,vramen,,,,,,framōną
,vernemen,vernehmen,,,,𐍆𐍂𐌰𐌽𐌹𐌼𐌰𐌽,franemaną
frank,frank,franke,,,frakki,,frankô
,verslinden,verschlingen,,,,𐍆𐍂𐌰𐍃𐌻𐌹𐌽𐌳𐌰𐌽,fraslindaną
forstand,,,,,,,frastandaną
,,,,,,𐍆𐍂𐌰𐍄𐍅𐌾𐌰𐌽,fratwijaną
,,,,,,𐍆𐍂𐌰𐍅𐌰𐍂𐌳𐌾𐌰𐌽,frawardijaną
,vrolijk,froh,,,frár,𐍆𐍂𐌰𐌿𐍃,frawaz
forworth,verworden,,,,,𐍆𐍂𐌰𐍅𐌰𐌹𐍂𐌸𐌰𐌽,frawerþaną
,verwijten,verweisen,,,,𐍆𐍂𐌰𐍅𐌴𐌹𐍄𐌰𐌽,frawītaną
,,,frej,,freyr,,frawjaz
,vroon,fronleichnam,frö,,freyr,𐍆𐍂𐌰𐌿𐌾𐌰,frawjô
,vrouwe,frau,freja,freja,freyja,,frawjǭ
forwork,,,,,,𐍆𐍂𐌰𐍅𐌰𐌿𐍂𐌺𐌾𐌰𐌽,frawurkijaną
,,,,,,𐍆𐍂𐌰𐌸𐌾𐌰𐌽,fraþjaną
,vraag,frage,,,,,frēgō
frain,,,,,fregna,𐍆𐍂𐌰𐌹𐌷𐌽𐌰𐌽,frehnaną
,vrek,frech,fräck,fræk,frekur,𐍆𐍂𐌹𐌺𐍃,frekaz
freak,,,,,,,frekô
,,,frist,frist,frestur,,frestą
freeze,vriezen,frieren,frysa,fryse,frjósa,,freusaną
,,,frid,,fríður,,frīdaz
,,,,,fríða,𐍆𐍂𐌴𐌹𐌳𐌾𐌰𐌽,frīdijaną
,,,,,frétt,,frihtiz
,,,frälsa,frelse,frelsa,𐍆𐍂𐌴𐌹𐌷𐌰𐌻𐍃,frijahalsaz
free,vrij,frei,,,,𐍆𐍂𐌴𐌹𐍃,frijaz
,,,frigg,frigg,frigg,,frijjō
free,vrijen,freien,fria,fri,frjá,𐍆𐍂𐌹𐌾𐍉𐌽,frijōną
friendly,vriendelijk,freundlich,,frændelig,frýnilegur,,frijōndlīkaz
friend,vriend,freund,frände,frænde,frændi,𐍆𐍂𐌹𐌾𐍉𐌽𐌳𐍃,frijōndz
frizz,,,,,,,frisaz
frisk,fris,frisch,färsk,fersk,ferskur,,friskaz
frist,,frist,,,,,fristiz
,,friedel,frilla,frille,frilla,,friþilaz
,vreden,frieden,freda,,friða,𐍆𐍂𐌹𐌸𐍉𐌽,friþōną
,,,,,friðan,𐍆𐍂𐌹𐌸𐍉𐌽𐍃,friþōniz
fredbert,,friedbert,,,friðbert,,friþuberhtaz
,,fridger,,,friðgeir,,friþugaizaz
,,,,,friðland,,friþulandą
fredmund,,friedmund,,,friðmundur,,friþumundō
,frederik,friedrich,,,friðrik,,friþurīks
,vreedzaam,friedsam,,,friðsamur,,friþusamaz
frith,vrede,friede,fred,fred,friður,𐍆𐍂𐌹𐌸𐌿𐍃,friþuz
frood,vroed,,frod,frod,fróður,𐍆𐍂𐍉𐌸𐍃,frōdaz
,,,,,fræði,𐍆𐍂𐍉𐌳𐌴𐌹,frōdį̄
,vroeden,,,,fræða,,frōdijaną
,,,,frode,fróði,,frōdô
,,früh,,,,,frōi
,,,,,frækn,,frōkniz
,vroeg,frühe,,,,,frōwaz
furnish,,frommen,,,,𐍆𐍂𐌿𐌼𐌾𐌰𐌽,frumjaną
former,vroom,fromm,from,,frum,𐍆𐍂𐌿𐌼𐌰,frumô
frosk,vors,frosch,,,froskur,,fruskaz
,vorsten,frosten,,,frosta,,frustāną
frost,vorst,frost,frost,frost,frost,,frustaz
froth,,,,,froða,,fruþǭ
fowl,vogel,vogel,fågel,fugl,fugl,𐍆𐌿𐌲𐌻𐍃,fuglaz
,,fähe,,,fóa,𐍆𐌰𐌿𐌷𐍉,fuhǭ
fox,vos,fuchs,,,,,fuhsaz
vixen,,füchsin,,,,,fuhsinī
fuck,fokken,,fokka,,fokka,,fukkōną
foul,vuil,faul,ful,ful,fúll,𐍆𐌿𐌻𐍃,fūlaz
fold,,,,,fold,,fuldō
follow,volgen,folgen,,,,,fulgāną
,,,följa,følge,fylgja,,fulgijaną
file,vuilen,,,,fýla,,fūlijaną
folk,volk,volk,folk,folk,fólk,𐍆𐌿𐌻𐌺,fulką
,folkmar,volkmar,,folkmar,,,fulkamērijaz
,,,,,fólkvíg,,fulkawīgą
,,,fylke,fylke,fylki,,fulkiją
filch,,,fylka,,fylkja,,fulkijaną
,,,,,full,,fullą
full,vol,voll,full,fuld,fullur,𐍆𐌿𐌻𐌻𐍃,fullaz
fill,,fülle,fylle,fylde,fylli,𐍆𐌿𐌻𐌻𐌴𐌹,fullį̄
fill,vullen,füllen,fylla,fylde,fylla,𐍆𐌿𐌻𐌻𐌾𐌰𐌽,fullijaną
,,,,,,𐍆𐌿𐌻𐌻𐌽𐌰𐌽,fullnaną
foal,vool,fohl,fåle,fole,foli,𐍆𐌿𐌻𐌰,fulô
fenowed,vuns,,,,fúna,,fun
,,,fynd,fund,fundur,,fundiz
,vocht,feucht,,,,,funhtijaz
funk,vonk,funke,,,,,funkô
,,,fus,fus,fús,,funsaz
feeze,,,,,fýsa,,funsijaną
fore,voor,vor,före,,,𐍆𐌰𐌿𐍂𐌰,furai
fore-,,vor-,,,,𐍆𐌰𐌿𐍂𐌰-,furai-
,voordeur,,,,fordyri,𐍆𐌰𐌿𐍂𐌰𐌳𐌰𐌿𐍂𐌹,furaidurją
,,,,,,𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌲𐌲𐌰𐌽,furaiganganą
,,,,,foringi,𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌲𐌲𐌾𐌰,furaigangijô
forecome,voorkomen,vorkommen,,,,𐍆𐌰𐌿𐍂𐌰𐌵𐌹𐌼𐌰𐌽,furaikwemaną
,,,,,,𐍆𐌰𐌿𐍂𐌰𐌵𐌹𐌸𐌰𐌽,furaikweþaną
foresay,voorzeggen,vorsagen,,,fyrirsegja,,furaisagjaną
,voorstaan,,,,,𐍆𐌰𐌿𐍂𐌰𐍃𐍄𐌰𐌽𐌳𐌰𐌽,furaistandaną
,,,,,,𐍆𐌰𐌿𐍂𐌳𐍃,furdiz
ford,voord,furt,,,,,furduz
,voorn,forelle,,,,,furhnō
fir,,föhre,fura,fyr,fura,,furhō
furrow,voor,furche,fåra,,,,furhs
,,,,,,𐍆𐌰𐌿𐍂𐌷𐍄𐍃,furhtaz
fright,,,,,,𐍆𐌰𐌿𐍂𐌷𐍄𐌴𐌹,furhtį̄
,vruchten,fürchten,,,,𐍆𐌰𐌿𐍂𐌷𐍄𐌾𐌰𐌽,furhtijaną
,vrucht,furcht,,,,,furhtō
for,veur,für,före,for,fyrir,𐍆𐌰𐌿𐍂,furi
for-,ver-,,,,,𐍆𐌰𐌿𐍂-,furi-
forbid,verbieden,verbieten,förbjuda,forbyde,fyrirbjóða,𐍆𐌰𐌿𐍂𐌱𐌹𐌿𐌳𐌰𐌽,furibeudaną
forbode,verbod,verbot,förbud,forbud,forboð,,furibudą
,,,,,,𐍆𐌰𐌿𐍂𐌲𐌰𐌲𐌲𐌰𐌽,furiganganą
,,,,,fyrirmuna,,furimunāną
first,vorst,fürst,första,først,fyrstur,,furistaz
,,,fork,,forkur,,furkaz
force,,,fors,,fors,,fursaz
,vort,furz,,,,,furtuz
forth,voort,fort,,,,,furþą
,,,,,forða,,furþōną
,,fut,,,fuð,,fuþiz
a-,ge-,ge-,,,,𐌲𐌰-,ga-
gab,gabben,,,,gabba,,gabbōną
,,gebären,,,,𐌲𐌰𐌱𐌰𐌹𐍂𐌰𐌽,gaberaną
,,,,,,𐌲𐌰𐌱𐌴𐌹,gabį̄
,,,,,,𐌲𐌰𐌱𐌹𐌳𐌾𐌰𐌽,gabidjaną
,,,,,göfugur,𐌲𐌰𐌱𐌹𐌲𐍃,gabīgaz
,,,,,,𐌲𐌰𐌱𐌹𐌽𐌳𐌰𐌽,gabindaną
,gebeuren,gebühren,,,,,gaburjaną
,geboorte,geburt,,,,𐌲𐌰𐌱𐌰𐌿𐍂𐌸𐍃,gaburþiz
gadling,,,,,,𐌲𐌰𐌳𐌹𐌻𐌹𐌲𐌲𐍃,gadilingaz
gad,gade,gatte,,,,,gadô
,,,,,,𐌲𐌰𐌳𐍉𐌱,gadōbiz
,,,,,,𐌲𐌰𐌳𐍂𐌰𐌲𐌰𐌽,gadraganą
,gedoren,,,,,𐌲𐌰𐌳𐌰𐌿𐍂𐍃𐌰𐌽,gadurzaną
,,,,,frægur,,gafrēgijaz
,,,,,fylki,,gafulkiją
gain,jegens,gen,igen,igen,gegn,,gagin
gain,bejegenen,begegnen,,,gegna,,gaginjaną
gale,gagel,gagel,,,gaglviður,,gagulaz
,,,,,,𐌲𐌰𐌷𐌰𐌱𐌰𐌽,gahabjaną
,,gehören,,,,𐌲𐌰𐌷𐌰𐌿𐍃𐌾𐌰𐌽,gahauzijaną
,,,,,,𐌲𐌰𐌷𐌻𐌰𐌹𐌱𐌰,gahlaibô
gnast,genster,gneister,gnist,gnist,neisti,,gahnaistô
,,,,,,𐌲𐌰𐌷𐌿𐌲𐌳𐍃,gahugdiz
,,,,,,𐌲𐌰𐍈𐌰𐌹𐍂𐌱𐍃,gahwerbaz
goad,,,,,,𐌲𐌰𐌹𐌳𐌰,gaidō
,,,,,,𐌲𐌰𐌹𐌳𐍅,gaidwą
,,geigen,,,geiga,,gaigijaną
gole,geil,geil,gäl,,,,gailaz
,,,gilja,,,𐌲𐌰𐌹𐌻𐌾𐌰𐌽,gailijaną
goal,,,,,geil,,gailō
ghost,geest,geist,,gast,,,gaistaz
goaten,,geißen,,,,,gaitīnaz
goat,geit,geiß,get,ged,geit,𐌲𐌰𐌹𐍄𐍃,gaits
garrick,,,,,,,gaizarīks
gerald,,gerold,,,,,gaizawaldą
,gerlof,gerolf,,,geirólfur,,gaizawulfaz
garfish,geer,ger,,ger,geir,𐌲𐌰𐌹𐍃,gaizaz
gore,,gehre,gere,gere,geiri,,gaizô
gale,,golen,gala,gale,gala,,galaną
,,,,,,𐌲𐌰𐌻𐌰𐌿𐍆𐍃,galaubaz
,geloven,glauben,,,leyfa,𐌲𐌰𐌻𐌰𐌿𐌱𐌾𐌰𐌽,galaubijaną
,geloof,glaube,,,,,galaubô
geld,gelten,gelzen,gälda,gilde,gelda,,galdijaną
geld,geld,galt,gall,gold,geldur,,galdijaz
,,,galder,,galdur,,galdraz
gauge,galg,galgen,galge,galge,gálgi,𐌲𐌰𐌻𐌲𐌰,galgô
,,,,,,𐌲𐌰𐌻𐌹𐌲𐍂𐌹,galigriją
,,,lika,,líka,𐌲𐌰𐌻𐌴𐌹𐌺𐌰𐌽,galīkāną
alike,gelijk,gleich,lik,lig,líkur,𐌲𐌰𐌻𐌴𐌹𐌺𐍃,galīkaz
,gelijken,gleichen,,,,𐌲𐌰𐌻𐌴𐌹𐌺𐍉𐌽,galīkōną
,,galle,gall,,galli,,gallô
gall,gal,galle,galle,galde,gall,,gallǭ
,galm,galm,,,,,galmaz
glove,,,,,glófi,,galōfô
jape,galpen,galpen,galpa,,,,galpōną
,,,,,,𐌲𐌰𐌼𐌰𐌹𐌽𐌾𐌰𐌽,gamainijaną
mean,gemeen,gemeine,,,,𐌲𐌰𐌼𐌰𐌹𐌽𐍃,gamainiz
,gamel,,gammal,gammel,gamall,,gamalaz
game,gemelijk,gammel,gamman,gammen,man,𐌲𐌰𐌼𐌰𐌽,gamaną
min,,,minne,minde,minni,𐌲𐌰𐌼𐌹𐌽𐌸𐌹,gaminþiją
mind,,,,,,𐌲𐌰𐌼𐌿𐌽𐌳𐍃,gamundiz
go,gaan,gehen,gå,gå,gá,𐌲𐌰𐌲𐌲𐌰𐌽,gāną
,,jahnen,,,,,ganāną
,genoot,genoß,,,nautur,,ganautaz
,,,,,,𐌲𐌰𐌽𐌹𐌼𐌰𐌽,ganemaną
,genezen,genesen,,,,𐌲𐌰𐌽𐌹𐍃𐌰𐌽,ganesaną
,genieten,genießen,,,,𐌲𐌰𐌽𐌹𐌿𐍄𐌰𐌽,ganeutaną
gang,,gehen,gånga,gange,ganga,𐌲𐌰𐌲𐌲𐌰𐌽,ganganą
gang,gang,gang,gång,gang,gangur,𐌲𐌰𐌲𐌲𐍃,gangaz
ging,,,,,gengi,,gangiją
,,,,,,𐌲𐌰𐌲𐌲𐌾𐌰𐌽,gangijaną
,,gänge,gäng,,gengur,,gangiz
,,,,,gá,,ganhāną
,,,gäta,,gæta,,ganhatjaną
,,,,,gátt,,ganhtiz
gay,gauw,jäh,,,,𐌲𐌰𐌷𐌴𐌹𐍃,ganhuz
,,,,,,𐌲𐌰𐌽𐌹𐍃𐍄𐍃,ganistiz
enough,genoeg,genug,nog,,gnógur,𐌲𐌰𐌽𐍉𐌷𐍃,ganōgaz
,genoegen,genügen,,nøje,nægja,𐌲𐌰𐌽𐍉𐌷𐌾𐌰𐌽,ganōgijaną
goose,gans,gans,gås,gås,gás,𐌲𐌰𐌽𐍃,gans
,,,,,,𐌲𐌰𐌽𐌰𐌿𐌷𐌰𐌽,ganuganą
,genucht,,,,gnótt,,ganuhtiz
gannet,gent,gunz,,,,,ganutaz
gander,gander,,gasse,gase,gassi,,ganzô
gape,gapen,gaffen,gapa,,gapa,,gapōną
graith,gereed,,redo,,greiður,𐌲𐌰𐍂𐌰𐌹𐌸𐍃,garaidaz
graith,,,gre,grede,greiða,𐌲𐌰𐍂𐌰𐌹𐌳𐌾𐌰𐌽,garaidijaną
,,,granne,grande,granni,𐌲𐌰𐍂𐌰𐌶𐌽𐌰,garaznô
garth,gaard,,gård,gård,garður,𐌲𐌰𐍂𐌳𐍃,gardaz
,gaard,garten,,gårde,garði,𐌲𐌰𐍂𐌳𐌰,gardô
right,gerecht,gericht,,,,,garihtiją
aright,gerechten,,,,,𐌲𐌰𐍂𐌰𐌹𐌷𐍄𐌾𐌰𐌽,garihtijaną
garn,garen,garn,garn,garn,garn,,garną
,,,,,görn,,garnō
yar,gerren,,,,,,garrijaną
,,geraune,,,,𐌲𐌰𐍂𐌿𐌽𐌹,garūniją
yerk,,,,,,,garwakōną
yare,gaar,gar,,,gjör,,garwaz
gear,,,,,gervi,,garwį̄
gar,gerven,gerben,göra,gøre,gjöra,,garwijaną
,,,,,,𐌲𐌰𐍃𐌰𐌺𐌰𐌽,gasakaną
,gezel,geselle,,,,,gasaljô
,gezien,gesehen,,,,𐌲𐌰𐍃𐌰𐌹𐍈𐌰𐌽,gasehwaną
,gezinde,gesind,,,sinni,𐌲𐌰𐍃𐌹𐌽𐌸𐌾𐌰,gasinþô
,gezitten,gesitzen,,,,𐌲𐌰𐍃𐌹𐍄𐌰𐌽,gasitjaną
,,geschäft,,,,𐌲𐌰𐍃𐌺𐌰𐍆𐍄𐍃,gaskaftiz
,,,,,,𐌲𐌰𐍃𐌺𐌰𐍀𐌾𐌰𐌽,gaskapjaną
,,gesuchen,,,,𐌲𐌰𐍃𐍉𐌺𐌾𐌰𐌽,gasōkijaną
guesthouse,gasthuis,gasthaus,gästhus,gæstehus,gestahús,,gastihūsą
guest,gast,gast,gäst,gæst,gestur,𐌲𐌰𐍃𐍄𐍃,gastiz
gate,gat,gatt,gat,,gat,,gatą
gait,gas,gasse,gata,gade,gata,𐌲𐌰𐍄𐍅𐍉,gatwǭ
gawk,,gauch,gök,gøg,gaukur,,gaukaz
gaum,goom,gaum,,,,,gaumaz
yeme,,,gömma,gemme,geyma,𐌲𐌰𐌿𐌼𐌾𐌰𐌽,gaumijaną
,,gaum,,,,,gaumô
gaum,goom,gaume,,,gaum,,gaumō
,gor,,,,,𐌲𐌰𐌿𐍂𐍃,gauraz
,,,,,geysa,𐌲𐌰𐌿𐍃𐌾𐌰𐌽,gausijaną
,,,göt,,gautur,,gautaz
,gewagen,gewähnen,,,,,gawahwaną
,,,,,,𐌲𐌰𐍅𐌹𐌳𐌰𐌽,gawedaną
,,gewerfen,,,,𐌲𐌰𐍅𐌰𐌹𐍂𐍀𐌰𐌽,gawerpaną
,gewinnen,gewinnen,,,,𐌲𐌰𐍅𐌹𐌽𐌽𐌰𐌽,gawinnaną
iwis,gewis,gewiss,viss,vis,viss,,gawissaz
,,,,,,𐌲𐌰𐍅𐌹𐍃𐍃,gawissiz
,,,,,,𐌲𐌰𐍅𐌹𐍄𐌰𐌽,gawitāną
,gouw,gau,,,,𐌲𐌰𐍅𐌹,gawją
,,,,gø,geyja,,gawjaną
,,,,,,𐌲𐌰𐍅𐍂𐌹𐌺𐌰𐌽,gawrekaną
,,,,,,𐌲𐌰𐍅𐌰𐌿𐍂𐌳𐌹,gawurdiją
gad,gard,gart,gadd,,gaddur,𐌲𐌰𐌶𐌳𐍃,gazdaz
give,geven,geben,giva,give,gefa,𐌲𐌹𐌱𐌰𐌽,gebaną
,gaaf,,gäv,gæv,gæfur,,gēbiz
,,,gäv,gæv,gjöf,𐌲𐌹𐌱𐌰,gebō
,gave,gabe,gåva,gave,gáfa,,gēbǭ
,,,,,gjöfull,,gebulaz
yield,geld,geld,gäld,gæld,gjald,𐌲𐌹𐌻𐌳,geldą
yield,gelden,gelten,gälla,gælde,gjalda,𐌲𐌹𐌻𐌳𐌰𐌽,geldaną
yell,gillen,gellen,gälla,gjalde,gjalla,,gellaną
,,,,,gjalpa,,gelpōną
,,,,,,𐌲𐌹𐌻𐍃𐍄𐍂,gelstrą
yellow,geel,gelb,,,,,gelwaz
,,,,,ger,𐌲𐌴𐌹𐍂𐍉,geraz
,,,,,,𐌲𐌰𐌹𐍂𐌳𐌰𐌽,gerdaną
girth,,,gjord,gjord,gjörð,𐌲𐌰𐌹𐍂𐌳𐌰,gerdō
yern,,,,,gjarn,,gernaz
,gaarne,gern,gärna,gerne,gjarna,,gernô
yar,,,,,,,gerraną
gorse,gerst,gerste,,,,,gerstō
,gierig,gierig,girig,,,,gerugaz
get,,,gitta,gide,geta,,getaną
forgettle,vergetel,,,,,,getulaz
,guizen,,,gyse,gjósa,,geusaną
gut,gieten,gießen,gjuta,gyde,gjóta,𐌲𐌹𐌿𐍄𐌰𐌽,geutaną
,,,i går,i går,í gær,,gēz
,,,gifta,gifte,gifta,,giftijaną
gift,gift,gift,gift,gift,gift,𐌲𐌹𐍆𐍄𐍃,giftiz
yauld,,,gild,gild,gildur,,gildiz
gill,,,,,gil,,gilją
gimmer,,,gimber,,gimbur,,gimrį̄
,,,gimmer,gimmer,gimbur,,gimrī
,,,,,gína,,gīnaną
yawn,,gähnen,,,,,ginōną
,,gier,girig,,,,girį̄
,,gerne,,,ágirni,𐌲𐌰𐌹𐍂𐌽𐌴𐌹,girnį̄
yearn,,,,,girna,𐌲𐌰𐌹𐍂𐌽𐌾𐌰𐌽,girnijaną
,gijzelaar,geisel,gisslan,gidsel,gísl,,gīslaz
,gijzelen,,,,,,gīslōną
glade,glad,glatt,glad,glad,glaður,,gladaz
glad,gladden,,,,glaða,,gladōną
gleam,,,,,,,glaimiz
glass,glas,glas,glas,glas,,,glasą
,,,,,glaumur,,glaumaz
,glouw,glau,,,glöggur,𐌲𐌻𐌰𐌲𐌲𐍅𐍃,glawwaz
,,,,glar,gler,,glazą
,gluipen,,gliopa,,,,gleupaną
glance,glijden,gleiten,,,,,glīdaną
glede,,,glada,glæde,gleða,,glidǭ
glint,,,glinta,,,,glintaną
,,,glipa,,,,glīpaną
,glijssen,glissen,glisa,,,,glīsōną
,,gleißen,,,,,glītaną
,,,,,,𐌲𐌻𐌹𐍄𐌼𐌿𐌽𐌾𐌰𐌽,glitmunjaną
glitter,,glitzern,glittra,,glitra,,glitrōną
glee,,,,,glý,,glīwą
,,,,,gljá,,gliwāną
glow,gloeien,glühen,glo,glo,glóa,,glōaną
,,,glöde,gløde,glæða,,glōdijaną
glede,gloed,glut,glöd,glød,glóð,,glōdiz
gloat,,glotzen,glutta,,glotta,,glutōną
gnaw,knagen,nagen,gnaga,gnave,naga,,gnaganą
gnat,,gnatz,gnatt,,,,gnattaz
,,,gnida,gnide,gníða,,gnīdaną
goodly,goedelijk,gütlich,,,góðlegur,,gōdalīkaz
good,goed,gut,god,god,góður,𐌲𐍉𐌸𐍃,gōdaz
,,güte,,,,𐌲𐍉𐌳𐌴𐌹,gōdį̄
,goeden,,göda,gøde,gæða,,gōdijaną
,,,,,gæla,𐌲𐍉𐌻𐌾𐌰𐌽,gōlijaną
gum,,,gom,gum,gómur,,gōmô
grave,graf,grab,grav,grav,gröf,,grabą
grave,graven,graben,grava,grave,grafa,𐌲𐍂𐌰𐌱𐌰𐌽,grabaną
,gracht,graft,,,gröftur,,graftuz
grope,,,,,greipa,,graipōną
gram,gram,gram,gramse,gram,gramur,,gramaz
,,,,,gremi,,gramį̄
,,gremsen,,,,,gramitjaną
,,,,,gremd,,gramiþō
,,grämen,gräma,græmme,gremja,𐌲𐍂𐌰𐌼𐌾𐌰𐌽,gramjaną
grame,,gram,,,,𐌲𐍂𐌰𐌼𐌰,gramô
,graan,granne,gran,gran,greni,𐌲𐍂𐌰𐌽𐌰,granō
grab,,,,,,,grappōną
grass,gras,gras,gräs,græs,gras,𐌲𐍂𐌰𐍃,grasą
grassgreen,,,gräsgrön,græsgrøn,grasgrænn,,grasagrōniz
gress,,,gräsa,græsse,gresja,,grasjaną
graze,grazen,grasen,,,grasa,,grasōną
,,,,,greypa,,graupijaną
great,groot,groß,,,,,grautaz
,,,,,græfur,,grēbiz
greedy,graag,,grådig,grådig,gráðugur,𐌲𐍂𐌴𐌳𐌰𐌲𐍃,grēdagaz
,,,,,,𐌲𐍂𐌴𐌳𐌿𐍃,grēduz
regret,,,gråta,græde,gráta,𐌲𐍂𐌴𐍄𐌰𐌽,grētaną
,,,gråt,gråd,grátur,𐌲𐍂𐌴𐍄𐍃,grētaz
