English,Dutch,German,Swedish,Danish,Icelandic,Gothic,Proto-Germanic
ail,,,,,,𐌰𐌲𐌻𐌿𐍃,agluz
eagre,agger,,,,,,agraz
awn,,agen,agn,avne,ögn,𐌰𐌷𐌰𐌽𐌰,ahanō
ear,aar,ähre,,,,𐌰𐌷𐍃,ahaz
,,,,,,𐌰𐌷𐌾𐌰𐌽,ahjaną
axle,assel,achsel,axel,aksel,öxl,,ahslō
,as,achse,,,,,ahsō
eight,acht,acht,åtta,otte,átta,𐌰𐌷𐍄𐌰𐌿,ahtōu
eighteen,achttien,achtzehn,aderton,atten,átján,,ahtōutehun
eighty,tachtig,achtzig,,,,𐌰𐌷𐍄𐌰𐌿𐍄𐌴𐌷𐌿𐌽𐌳,ahtōutēhundą
eighth,,achte,åttonde,ottende,áttundi,𐌰𐌷𐍄𐌿𐌳𐌰,ahtudô
eddy,a,ach,å,å,á,𐌰𐍈𐌰,ahwō
,,,,,æfur,𐌰𐌹𐍆𐍂𐍃,aibraz
,,,ed,,eið,,aidiją
owe,,egen,äga,eje,eiga,𐌰𐌹𐌲𐌰𐌽,aiganą
owe,,egen,egen,egen,eiginn,,aiganaz
,eigenen,eignen,,,eigna,𐌰𐌹𐌲𐌹𐌽𐍉𐌽,aiginōną
,,,egel,,,,aiglaz
,,,äga,eje,eiga,,aigǭ
aught,vracht,fracht,ätt,æt,átt,𐌰𐌹𐌷𐍄𐍃,aihtiz
,,,,,,𐌰𐌹𐌷𐍄𐍂𐍉𐌽,aihtrōną
,,,,,,𐌰𐌹𐌺𐌰𐌽,aikaną
oaken,,eichen,eken,,eikinn,,aikīnaz
oak,eik,eiche,ek,eg,eik,,aiks
,eekhoorn,eichhorn,ekorre,egern,íkorni,,aikwernô
,,,eld,ild,eldur,,ailidaz
,,,,em,eimur,,aimaz
ember,,eimer,mörja,,eimyrja,,aimuzjǭ
onefold,eenvoud,einfältig,enfaldig,enfoldig,einfaldur,𐌰𐌹𐌽𐍆𐌰𐌻𐌸𐍃,ainafalþaz
any,enig,einig,,,einigur,𐌰𐌹𐌽𐌰𐌷𐍃,ainagaz
,,einhändig,enhänt,,einhentur,,ainahandijaz
,,,,,einharður,,ainaharduz
,,einläufig,,,einhleypur,,ainahlaupiz
,,,,,,𐌰𐌹𐌽𐌰𐌷𐌰,ainahô
,,,änka,enke,ekkja,,ainakjǭ
eleven,elf,elf,elva,elleve,ellefu,𐌰𐌹𐌽𐌻𐌹𐍆,ainalif
,,,,,,𐌰𐌹𐌽𐌰𐌽,aināną
,,,,,einnættur,,ainanahtijaz
,,,,,einráður,,ainarēdaz
,,einäugig,,,eineygur,,ainaugijaz
,,,envig,,einvígi,,ainawīgiją
one,een,ein,en,en,einn,𐌰𐌹𐌽𐍃,ainaz
,,,en,ene,einir,,ainijaz
ere,eer,eher,arla,årle,árla,𐌰𐌹𐍂,airi
,,,,,árdagar,,airidagaz
,,,,,árna,𐌰𐌹𐍂𐌹𐌽𐍉𐌽,airinōną
,,,,,árvakur,,airiwakraz
ere,eer,eher,,,,𐌰𐌹𐍂𐌹𐍃,airiz
oar,,,år,år,ár,,airō
,,,ärende,ærinde,eyrendi,,airundiją
oar,,,,,ár,𐌰𐌹𐍂𐌿𐍃,airuz
,,,ajsa,,eisa,,aisǭ
,,,,,eisa,,aisōną
,,,,,,𐌰𐌹𐍃𐍄𐌰𐌽,aistāną
,,,,,eista,,aistô
oat,eet,,,,,,aitaz
,,,,,eitill,,aitilaz
atter,etter,eiter,etter,edder,eitur,,aitrą
atter,etteren,eitern,,,eitra,,aitrōną
aye,eeuw,je,ä,,æ,𐌰𐌹𐍅𐍃,aiwaz
,eeuwen,,,,,,aiwijaną
,,aiwisk,,,,𐌰𐌹𐍅𐌹𐍃𐌺𐍃,aiwiskaz
eche,,,,,,𐌰𐌾𐌿𐌺𐍃,aiwukiz
ore,,ehern,ärg,er,eir,𐌰𐌹𐌶,aiz
,eren,ehren,,,eira,,aizāną
,eer,ehre,ära,ære,eir,,aizō
,,,,,eiðstafur,,aiþastabaz
oath,eed,eid,ed,ed,eiður,𐌰𐌹𐌸𐍃,aiþaz
,,,,,eiða,𐌰𐌹𐌸𐌴𐌹,aiþį̄
edge,ei,ei,ägg,æg,egg,,ajją
ac,,auch,,,,𐌰𐌺,ak
ache,,,åka,age,aka,,akaną
ache,,eek,,,,,akiz
acreman,,ackermann,,,akurmaður,,akramann
acorn,aker,ackeran,akarn,agern,akarn,𐌰𐌺𐍂𐌰𐌽,akraną
,,ackerwerk,,,akurverk,,akrawerką
acre,akker,acker,åker,ager,akur,𐌰𐌺𐍂𐍃,akraz
axe,aks,axt,yxa,økse,öxi,𐌰𐌵𐌹𐌶𐌹,akwisī
all-,,,,,,,ala-
almighty,almachtig,allmächtig,allsmäktig,,almáttugur,,alamahtīgaz
,,,,,,𐌰𐌻𐌰𐌼𐌰𐌽𐍃,alamann-
