English,Dutch,German,Swedish,Danish,Icelandic,Gothic,Proto-Germanic
,,,,,ɟœːʋʏtl,,geβulaz
,,,,,ɟiːna,,giːnanã
,ɣɛɪzəlaːr,gaɪzəl,jɪslan,gʔisəl,ɟisl,,giːslaz
,ɣɛɪzələn,,,,,,giːslɔːnã
jɔːld,,,jɪld,gʔil,ɟɪldʏr,,gildiz
gɪl,,,,,ɟɪːl,,giljã
,,,jɪmər,gʔemʔʌ,ɟɪmbʏr,,gimriː
gɪmə,,,jɪmbər,,ɟɪmbʏr,,gimrĩː
jɔːn,,gɛːnən,,,,,ginɔːnã
,,,jɪfta,gʔifdə,ɟɪfda,,giɸtijanã
gɪft,ɣɪft,gɪft,jɪft,gʔift,ɟɪfd,giɸts,giɸtiz
,,giːɾ,jiːrɪg,,,,girĩː
,,gɛɾnə,,,aʊːjɪrdnɪ,gɛːrniː,girnĩː
jɜːn,,,,,ɟɪrdna,gɛːrnjan,girnijanã
gleɪd,ɣlɑt,glat,glɑːd,glað,glaːðʏr,,glaðaz
glad,ɣlɑdən,,,,glaːða,,glaðɔːnã
gliːm,,,,,,,glaimiz
glas,ɣlɑs,glɑːs,glɑːs,glas,,,glasã
,,,,,gløʏːmʏr,,glaumaz
,ɣlʌʊ,glaʊ,,,glœgʏr,glaŋgws,glawwaz
,,,,glɑ,glɛːr,,glazã
,ɣlœypən,,gliːuːpa,,,,gleupanã
glans,ɣlɛɪdən,glaɪtən,,,,,gliːðanã
,,,gliːpa,,,,gliːpanã
,ɣlɛɪsən,glɪsən,gliːsa,,,,gliːsɔːnã
,,glaɪsən,,,,,gliːtanã
gliː,,,,,gliː,,gliːwã
gliːd,,,glɑːda,glɛðə,glɛːða,,gliðɔ̃ː
glɪnt,,,glɪnta,,,,glintanã
,,,,,,glitmunjan,glitmunjanã
glɪtə,,glɪtsɜn,glɪtra,,glɪːdəra,,glitrɔːnã
,,,,,gljaʊː,,gliwaːnã
gləʊ,ɣlujən,glyːən,gluː,glʔo,gloʊːa,,glɔːanã
,,,gløːdə,glœðə,glaɪːða,,glɔːðijanã
gliːd,ɣlut,gluːt,gløːd,glʔœð,gloʊːð,,glɔːðiz
gləʊt,,glɔtsən,glɵtːa,,glɔhda,,glutɔːnã
nɔː,knaːɣən,nɑːʒən,ŋnɑːga,gnaʋə,naːɣa,,gŋaɣanã
nat,,gənats,ŋnat,,,,gŋattaz
,,,ŋniːda,gniðə,gniːða,,gŋiːðanã
gʊdli,ɣudələk,gyːtlɪç,,,goʊðlɛːɣʏr,,gɔːðaliːkaz
gʊd,ɣut,guːt,guːd,goð,goʊːðʏr,goːθs,gɔːðaz
,,gyːtə,,,,goːðiː,gɔːðĩː
,ɣudən,,jøːda,gœðə,ɟaɪːða,,gɔːðijanã
,,,,,ɟaɪːla,goːljan,gɔːlijanã
gʌm,,,gɔm,gɒm,goʊːmʏr,,gɔːmɔːː
gɹəʊp,,,,,gəreɪːba,,graipɔːnã
gɹam,ɣrɑm,gɾɑːm,gramsə,gʁɑm,gəraːmʏr,,gramaz
,,,,,gərɛːmɪ,,gramĩː
,,gɾɛmzən,,,,,gramitjanã
,,,,,gərɛmd,,gramiθɔː
,,gɾɛːmən,grɛːma,gʁamə,gərɛmja,gramjan,gramjanã
gɹeɪm,,gɾɑːm,,,,grama,gramɔːː
,ɣraːn,gɾanə,grɑːn,gʁɑn,gərɛːnɪ,grana,granɔː
gɹab,,,,,,,grappɔːnã
,ɣrɑxt,gɾaft,,,gərœfdʏr,,graɸtuz
gɹas,ɣrɑs,gɾɑːs,grɛːs,gʁas,gəraːs,gras,grasã
gɹasgɹiːn,,,grɛsgrøːn,gʁasgʁʔœn,gərasgəraɪn,,grasaɣrɔːniz
gɹɛs,,,grɛːsa,gʁasə,gərɛːsja,,grasjanã
gɹeɪz,ɣraːzən,gɾɑːzən,,,gəraːsa,,grasɔːnã
,,,,,gəreɪːba,,graupijanã
gɹeɪt,ɣroːt,gɾoːs,,,,,grautaz
gɹeɪv,ɣrɑf,gɾɑːp,grɑːv,gʁɑw,gərœːf,,graβã
gɹeɪv,ɣraːvən,gɾɑːbən,grava,gʁɑʋə,gəraːʋa,graβan,graβanã
gɹiːdi,ɣraːx,,groːdɪg,gʁɒðʔi,gəraʊːðʏɣʏr,greːðaɣs,greːðaɣaz
,,,,,,greːðus,greːðuz
ɹɪgɹɛt,,,groːta,gʁaðə,gəraʊːda,greːtan,greːtanã
,,,groːt,gʁɒð,gəraʊːdʏr,greːts,greːtaz
gɹeɪ,ɣrʌʊ,gɾaʊ,groː,gʁɒ,gəraʊːr,,greːwaz
,,,,,gəraɪːʋʏr,,greːβiz
,,,grjuːpa,,,,greupanã
gɹɪt,ɣrit,gɾiːs,gryːt,,gərjoʊːd,,greutã
,,,,,gəriːmʏr,,griːmaz
gɹaɪm,ɣrɛɪm,gɾeːmtiːk,grɪma,gʁiːmə,gəriːma,griːma,griːmɔːː
,ɣrɛɪnən,gɾaɪnən,griːna,gʁinə,gəriːna,,griːnanã
gɹaɪp,ɣrɛɪpən,gɾaɪfən,griːpa,gʁibə,gəriːba,griːpan,griːpanã
gɹaɪz,,,,,,,griːsanã
gɹɪzəl,ɣrɛɪs,gɾaɪs,,,,,griːsaz
,,,,,,griθs,griðiz
,,,,,gərɪmma,,grimmanã
gɹɪm,ɣrɪm,gɾɪm,gryːm,gʁʔem,gərɪmmʏr,grimms,grimmaz
,,,,,gərɪmd,,grimmiθɔː
gɹaɪnd,ɣrɪndən,,,,,,grindanã
,ɣrɛndəl,gɾɪndəl,grɪnd,,gərɪnd,,grindiz
,ɣrɪnt,gɾɪnt,,,,,grindɔː
,,,grɛp,,gərɪːb,,gripã
gɹɪp,ɣreːp,gɾɪf,,,gərɪːbʏr,,gripiz
gɹɪp,,,,,,,gripjanã
,,,gryː,gʁʔy,,,griwjanã
gɹəʊ,ɣrujən,gɾoːjən,gruː,gʁʔo,gəroʊːa,,grɔːanã
,,,grøːda,gʁœðə,gəroʊːðʏr,,grɔːðiz
,,,,,snɛmgəraɪr,,grɔːiz
gɹiːn,ɣrunən,gɾyːnən,,,gəroʊːna,,grɔːnaːnã
,ɣrunən,gɾyːnən,grøːna,,gəraɪːna,,grɔːnijanã
gɹiːn,ɣrun,gɾyːn,grøːn,gʁʔœn,gəraɪn,,grɔːniz
gɹaʊtʃ,ɣrutən,gɾyːsən,,,gəraɪːda,,grɔːtijanã
gɹuːv,ɣruvə,gɾuːbə,,,gəroʊːf,groːβa,grɔːβɔː
,,,,,gəraɪːða,groːðjan,grɔːθijanã
,,gɾyndən,gryna,,gərɪnna,,grundijanã
,ɣrɔndən,,grɵnda,gʁɒnə,gərʏnda,,grundɔːnã
gɹaʊnd,ɣrɔnt,gɾʊnt,grɵnd,gʁɒn,gərʏnd,grundus,grunduz
gɹʌnt,,gɾʊntsən,,,,,grunnatjanã
gɹɪnt,,,grymta,gʁʔœndə,,,grunnitjanã
gɹʌb,,gɾɔpən,,,,,gruppɔːnã
,ɣrɔf,gɾiːbə,gruːv,gʁɔw,,,gruβaz
gɹɒvəl,,gɾyːbəln,,,,,gruβilɔːnã
gɒd,ɣɔt,gɔt,gʉd,gʔuð,gʏːð,guθ,guðã
gɒdɪvə,,,,,,,guðaɣeβɔː
gɒdləs,ɣɔdəloːs,gɔtloːs,gɵdløːs,gʔuðlʔœsə,gʏðløʏs,guðalɔːs,guðalausaz
,,,,,,guðaɸɔːrhts,guðaɸurxtaz
,,,,,gʏðʋɛːʋʏr,,guðawaβjã
gɒdz haʊs,ɣɔdshœys,apgɔttaʊs,,,gɔːðahus,guðhuːs,guðaxuːsã
,,,,goðə,gɔːðɪ,guðja,guðjɔːː
,,,gʉl,gʔul,gʏːlʏr,,gulaz
,,,gɔlv,gɒl,goʊlf,,gulbã
gəʊld,ɣʌʊt,gɔlt,gɵl,gʔul,gʏtl,gulθ,gulθã
gɪldən,ɣʌʊdən,gyldən,jylənə,,gʏdlɪn,gulθiːns,gulθiːnaz
gɪld,vərɣɵldən,,,,gɪdla,,gulθijanã
,,,,,gʏːma,,gumaːnã
gəʊm,,,brɵdgʉm,bɐ̯ʔuðgʔʌm,gʏːmɪ,guma,gumɔːː
gaʊnd,,,,,,gund,gundaz
,,,,,gʏnleɪʋʏr,,gunθilaiβaz
gɒnfanən,ɣɔnfaːnɔn,,,,gʏnfaʊnɪ,,gunθiɸanɔːː
,,,,,gʏnnoʊlʋʏr,,gunθiwulɸaz
,,gʊntɜ,gɵnar,gɒnʔʌ,gʏnnar,,gunθixarjaz
,,,,,gʏːðʏr,,gunθiz
gɔː,,guːɾ,gʊr,,gɔːr,,gurã
gɜːd,ɣɔrdən,gyɾtən,juːrda,gjoʌ,,,gurdijanã
gɜːdəl,ɣɔrdəl,gyɾtəl,,gjoʌl,gɪrðɪtl,,gurdilaz
,ɣɔɾrən,gʊrən,,,,,gurrɔːnã
gɒθ,,goːtə,gʉtə,gutʔʌ,gɔːdɪ,guta,gutɔːː
aɪdəl,ɛɪdəl,aɪtəl,,,,,iːðalaz
aɪs,ɛɪs,aɪs,iːs,is,iːs,,iːsã
,ɛɪzən,aɪzən,,,iːsa,,iːsaːnã
aɪən,ɛɪzər,aɪzən,jɛrn,jεɐ̯n,jaʊrdn,iːsarn,iːsarnã
,,,,,,iːsarniːns,iːsarniːnaz
juː,ɛɪf,aɪbə,iːdəgran,,iːr,,iːxʷaz
,,,,,,iθ,iði
ɛd,ɛt,iːt,iːd,,ɪːð,ið-,iði-
,,,,,,iðwiːt,iðiwiːtã
,,,,,,iðwiːtjan,iðiwiːtijanã
,eːɣɛl,iːgəl,iːjəl,ʔijlə,iːɣʏtl,,iɣilaz
,eːlt,,,,ɪːl,,ili
ɪl,,,ɪla,ʔilə,ɪdlʏr,,ilxilaz
ɪn,ɪn,ɪn,iː,i,iː,in,in
,,ɪŋeːmɑːɾ,ɪŋəmar,,iŋgmar,,iŋgumeːraz
,,,yŋvə,,iŋgʋɪ,iŋgus,iŋguz
ɪŋkəlɪŋ,,,,,ɛhɟɪ,,inkɔːː
,,,,,ɪhgar,iɣkʷar,inkʷeraz
ɛnlaɪt,ɪnlɪxtən,aɪnlɔøçtən,,,,inliuhtjan,inliuxtijanã
ɪn,,,ɪn,ʔen,,inn,inn
ɪn,,,ɪnə,ʔenə,ɪnnɪ,inna,innai
,,ɪnən,ɪnan,ʔenən,ɪnnan,innana,innaneː
,,,,,,inngaŋgan,inŋgaŋganã
ɪŋgaŋ,ɪnɣɑŋ,aɪngaŋ,ɪŋɔŋ,ʔengɑŋ,ɪngaʊŋgʏr,,inŋgaŋgaz
ɪn,ɪnən,ɪnən,,,ɪnna,,innɔːnã
,,,,,,insahts,insaxtiz
,,,ɪstər,ʔistʔʌ,,,instraz
,,ɪrən,,,,ɛːrzjan,irzijanã
,ɑr,ɪrə,,,,ɛːrziːs,irzijaz
,,,,,,ɛːrziθa,irziθɔː
ɜːðən,aːrdən,ɪɾdən,,,,ɛːrθiːns,irθiːnaz
,øːr,iːnən,,,ɛːr,im,iz
jɔː,yʊ,ɔøɜ,eːdar,jɛʌs,ɪːðar,izwar,izweraz
juː,jʌʊ,ɔøç,eːdər,ʔeðʔʌ,ɪːðʏr,izwis,izwiz
aɪvi,,eːfɔø,,,,,iβaxs
jɐ,jaː,jɑː,jɑː,ja,jaʊː,ja,ja
,,,,jεtə,jaʊːda,,jaatjanã
jɒndə,ɣɪndər,gynɜ,,,,jɛːnar,jainar
jɒn,ɣɪnts,jeːnɜ,ɛn,ʔen,ɛn,jɛːns,jainaz
,jɑkən,,,jɑgdə,,,jakkɔːnã
,,jɔx,,,,jah,jaxʷ
,,gɛːrən,,,,,jazjanã
ɪf,ɔf,ɔp,ɔm,ʔʌm,ɛːf,jaβɛː,jaβai
,jɑmər,,,jɑmʔʌ,,,jeːmaraz
jiə,jaːr,jɑːɾ,oːr,ɒ,aʊːr,jeːr,jeːrã
,,jɛːtən,,,,,jeðanã
,,jɛç,,,jaːɟɪ,,jekɔːː
aɪkəl,,,ɪkːəl,,jœːgʏtl,,jekulaz
,,gɛːrən,jɛːsa,,,,jesanã
jiːst,ɣɪst,gɪʃt,jɛst,,jœsdʏr,,jestuz
,,,,,,jiukan,jeukaːnã
,,jeːən,,,,,jexanã
juːl,,,jʉl,jʔul,joʊːl,jiuliːs,jexʷlã
,bixt,baɪçtə,,,,,jixtiz
,,,,,aɪːsa,,jɔːsijanã
,,,,,,ju,ju
jiː,ɣɛɪ,iːɾ,iː,i,θjɛːr,jus,juːz
juːθ,jøːxt,juːgənt,,,,,juɣunθiz
jəʊk,jɵk,jɔx,uːk,ɒu,ɔːg,juk,jukã
,,,,,,jukuzi,jukuziː
jʌŋ,jɔŋ,jʊŋ,ɵŋ,ɒŋ,uŋgʏr,juŋgs,juŋgaz
,,,yŋa,ʔœŋə,iŋɟa,,juŋgijanã
jʌŋgəlɪŋ,jɔŋəlɪŋ,jyŋlɪŋ,yŋlɪŋ,ʔœŋlʔeŋ,uŋgliŋgʏr,,juŋgiliŋgaz
,,,ʊst,ʔost,ɔsdʏr,,justaz
,,,ysta,,ɪsda,,justijanã
,,,,,θɪːð,jut,jut
keɪlz,keːɣəl,keːgəl,,,,,kaɣilaz
kɛg,,kɑːk,kagə,,kagɪ,,kaɣɔːː
,keːp,keːp,,,ceɪːbʏr,,kaipaz
,kɛɪzər,kaɪzɜ,ɕɛjsarə,kɑjsʔʌ,ceɪːsaɾrɪ,,kaisaraz
keə,kɪːrən,keːrən,ɕøːra,kœʔʌ,ceɪːɾra,,kaizwijanã
,,,,kʔeð,,,kaiβaz
keɪk,,,kaka,kajə,kaːga,,kakɔ̃ː
,,,kala,,kaːla,,kalanã
kɑːf,kɑlf,kalp,kalv,kalʋ,kaʊlʋʏr,kalboː,kalbaz
,,,,,kalda,,kaldaːnã
kəʊld,kʌʊt,kalt,kal,kʔʌl,kaldʏr,kalds,kaldaz
,,,ɕɛla,kʔilə,cɛlda,,kaldijɔ̃ː
tʃɪl,kɪl,,,,cɪːlʏr,,kaliz
kɑːm,,,,,,,kalmaz
kaləʊ,kaːl,kɑːl,kɑːl,,,,kalwaz
kɔːl,kɑlən,kalən,kala,kalə,kadla,,kalzɔːnã
kəʊm,kɑm,kam,kɑːm,kɑm,kambʏr,,kambaz
kɛm,kɛmən,kɛmən,ɕɛma,kjεmə,cɛmba,,kambijanã
,,,kapə,kɑpə,kahbɪ,,kampɔːː
,,,kɔŋ,,kaʊɲɟɪ,,kaŋgã
,,kaŋkɜ,kaŋruː,,,,kaŋgura
kamp,,,kamp,,kambʏr,,kanipaz
kɛn,kɛnən,kɛnən,ɕɛna,kεnə,cɛnna,kannjan,kannijanã
kan,kɑn,kanə,kana,kanə,kanna,,kannɔ̃ː
,,kɑːn,kana,kanə,,,kanɔːː
,,,koːt,kɒð,kaʊːdʏr,,kanxtaz
,,,,,caɪːda,,kanxtijanã
tʃaf,kɑf,kaf,,,,,kaɸã
dʒaʊl,kaːvəl,,,,,,kaɸlaz
kɑːl,kɪːrɛl,kaɾl,karliː,kɑlʔi,kadlɪ,,karilaz
,kɪːrən,keːrən,,,,,karjanã
tʃɜːm,kɛrmən,kaɾmən,,,,,karmiz
keə,,kaɾfraɪtɑːk,,,kœːr,kara,karɔː
keə,,,,,,karoːn,karɔːnã
,,kaɾʃ,,,,,karskaz
,kɑɾrən,,,,karɾra,,karzɔːnã
kast,,,kasta,kasdə,kasda,,kastɔːnã
kɛtəl,keːtəl,kɛsəl,ɕɛtːiːl,kʔeðəl,cɛːdɪtl,katils,katilaz
,kɑt,katsə,katːa,,cɛhda,,kattɔ̃ː
kat,,,kat,kat,kœhdʏr,kattus,kattuz
tʃiːp,koːpən,kɔøfən,ɕøːpa,kœbə,ceɪːba,,kaupijanã
tʃiːp,koːpən,kaʊfən,ɕøːpa,kœbə,køʏːba,kɔːpoːn,kaupɔːnã
keə,,,ɕøːra,kœʔʌ,ceɪːɾra,,kaurijanã
,,,,,,kɔːsjan,kauzijanã
,kaːr,kɑːɾ,kar,kɑ,cɛːr,kas,kazã
,,,,,,kasja,kazjɔːː
,keːvɪs,kɛpsvaɪp,,,cɛfsɪr,,kaβisjɔː
keɪvəl,kaːvəl,,kavəl,,cɛblɪ,,kaβlaz
,,,,,cjaʊlɟɪ,,kelkɔːː
dʒaʊl,keːl,keːlə,,,,,kelɔ̃ː
kiːl,kil,kiːl,ɕøːl,kʔœl,cjœːlʏr,,keluz
tʃaɪld,,,,,,kilθs,kelθaz
kɑːv,kɛrvən,kɛɾbən,,,,,kerbanã
,kɑrn,kɛɾn,,,,,kernɔ̃ː
,kɛrn,kɛɾn,ɕɛrna,kɛɐ̯nə,cjardnɪ,,kernɔːː
kɛt,,,ɕœt,kʔœð,cjœːd,,ketwã
kɪdni,,,,,,,keuðɔː
,kil,kiːl,,,cjoʊtl,,keulaz
tʃuːz,kizən,kiːzən,ɕʉsa,kysə,cjoʊːsa,kiusan,keusanã
tʃuː,kʌʊən,kaʊən,tɵga,tʔygə,tɪgja,,kewwanã
,,,,kɛbə,,,keβã
,,kiːfɜ,,,,,keβrã
kiːk,kɛɪkən,,,,,,kiːkanã
,kim,kaɪm,,,,,kiːmɔːː
tʃaɪn,,kaɪmən,,,,kiːnan,kiːnanã
,kɛɪvən,kaɪfən,ɕiːva,kiʋəs,ciːʋa,,kiːβanã
saɪən,,kaɪt,,,,,kiːθã
kɪd,,,ɕiːd,kʔið,cɪːð,,kiðjã
kɪŋk,kɪŋkən,,,,,,kinkɔːnã
tʃɪn,kɪn,kɪn,ɕɪnd,kʔen,cɪn,kinnus,kinnuz
tʃaɪn,keːn,,,,,,kinɔː
,kɪnt,kɪnt,,,,kind,kinθã
kaɪnd,,,,,cɪnd,,kinθiz
tʃɜːn,kɑrnən,kɪɾnən,ɕɛrna,kεɐ̯nə,cɪrdna,,kirnijanã
tʃɜːn,kɑrn,,ɕɛrna,kεɐ̯nə,cɪrdna,,kirnijɔ̃ː
kɪtəl,kitələn,kɪtsəln,kɪtla,kʔilə,cɪhdla,,kitilɔːnã
tʃɪt,,kɪts,,,,,kittiːnã
kləʊm,,,,,gleɪːma,,klaimaz
kliːm,,,,,gleɪːma,,klaimijanã
kliːn,klɛɪn,klaɪn,kleːn,klɑjn,gljɛn,,klainiz
klɒθ,kleːt,klaɪt,klɛːdə,klɛðə,glaɪːðɪ,,klaiθã
,,,,klɛj,glɛgɪ,,klajjɔːː
klak,klɑkən,,,,glaːga,,klakɔːnã
,,,,,glɛmbəra,,klambrijanã
,,,klɛŋa,,gleɪŋɟa,,klaŋgijanã
klɛntʃ,,,,,,,klankijanã
klʌf,,,,,,,klanxs
klap,klɑpən,klafən,klapa,klɑpə,glahba,,klappɔːnã
kliːt,kloːt,kloːs,kluːt,kloðə,gloʊːd,,klautaz
,kloːvən,,,,,,klauβijanã
klɔː,kloːjən,klɔøən,kloː,,glaʊː,,klawjanã
klɔː,klʌʊ,klaʊə,kluː,klʔo,gloʊː,,klawɔː
kliːv,klivən,kliːbən,klyːva,klœʋə,gljuːʋa,,kleuβanã
,klywən,knaʊəl,,,gljɛː,,klewɔːː
kliːv,,,,,glɛːʋɪ,,kleβɔːː
klaɪv,klɛɪvən,klaɪbən,kliːva,,gliːʋa,,kliːβanã
klaɪm,klɪmən,klɪmən,,,,,klimbanã
klɪŋ,klɪŋən,klɪŋən,klɪŋa,klʔenkə,gliŋɟa,,kliŋganã
,,,,klʔœnkə,glœhgʋa,,klinkʷanã
,,klɪnt,klɛt,klʔit,glɛhdʏr,,klintaz
klɪf,klɪf,klɪpə,,,glɪːf,,kliβã
kliːv,kleːvən,kleːbən,,,glɪːʋa,,kliβaːnã
,,,,,glɪfəra,,kliβrɔːnã
,kluk,kluːk,klʊk,klɒw,gloʊːgʏr,,klɔːkaz
klaʊt,klœyt,,klʉt,,gluːdʏr,,kluːtaz
klʌk,klɔkən,glʊkən,klɵkːa,klɒkə,glœhgʋa,,klukkʷɔːnã
klʌmp,klɔmp,klʊmpən,klɵmp,,,,klumpɔːː
klɛft,klɵxt,klʊft,klyft,klʔœft,glʏfd,,kluɸtiz
,,,,,ghnaʊːr,,kŋawaz
nəʊ,,,,,ghnɛːɣa,,kŋeːanã
niː,kni,kniː,knɛː,knε,ghnjɛː,kniu,kŋewã
nɪp,knɛɪpən,knaɪfən,,,,,kŋiːpanã
naɪf,knɛɪf,knaɪf,kniːv,knʔiw,,,kŋiːɸã
naɪf,knɛɪf,knaɪp,kniːv,knʔiw,ghniːʋʏr,,kŋiːβaz
,knɪpən,,,,,,kŋippɔːnã
,,,,,,knoːθs,kŋɔːðiz
,,,,,ghniːja,,kŋuːjanã
niːd,kneːdən,kneːtən,knoːda,,hnɔːða,,kŋuðanã
nʌkəl,knɔkəl,knœçəl,,,,,kŋukilaz
,knoːk,knɔxən,knuːjə,knʔo,,,kŋukɔːː
nɒk,,,knɔkːa,knuə,ghnɔːga,,kŋukɔːnã
nɪt,knɵtən,,knyːta,knʔœtə,ghniːda,,kŋuttijanã
kanjuːt,knɔt,knɔtsə,knʉt,knʔuð,ghnuːdʏr,,kŋuttɔːː
,,knɔtsən,,,,,kŋuttɔːnã
nɛl,,knylən,knɵla,knʔʌlə,ghnɪdla,,kŋuzlijanã
kɛtʃ,,kyçlaɪn,,,,,kɔːkilaz
,kuk,kʊxən,,,,,kɔːkɔːː
kiːl,kulən,kyːlən,ɕyːla,kœlə,caɪːla,,kɔːlijanã
,,,,,koʊlna,,kɔːlnanã
kuːlnəs,kul,kyːl,,,,,kɔːluz
,,kyːnə,,,lœgɟaɪnɪ,,kɔːnĩː
kiːn,kun,kyːn,ɕøːn,kʔœn,caɪn,,kɔːniz
kiːp,,,,,koʊːba,,kɔːpijanã
,krɑt,kɾatən,,,,,kraðɔːː
kɹeɪdəl,,,,,,,kraðulaz
,,kɾaɪs,,,,,kraitaz
kɹiːk,kreːkələn,,,,,,krakjanã
kɹeɪk,kraːkən,kɾaxən,,,,,krakɔːnã
,,,,,gəraːmʏr,,krammaz
,,,,,,kʷrammiθa,krammiθɔː
kɹam,,,,,,,krammɔːnã
kɹamp,krɑmp,kɾampf,,,,krampa,krampɔː
kɹɪndʒ,krɛŋən,kɾɛŋən,,,,,kraŋgijanã
kɹaŋk,krɑŋk,kɾaŋk,kraŋk,kʁɑnk,gəraʊŋhgʏr,,krankaz
,krɛŋkən,kɾɛŋkən,krɛŋka,kʁaŋə,gəreɪŋhca,,krankijanã
tɹəʊn,kraːn,kɾɑːn,trɑːna,tʁɑnə,təraːna,,kranɔːː
,krɑpən,kɾapən,,,,,krappɔːnã
kɹeɪv,,,krɛːva,kʁɛʋə,gərɛfja,,kraɸjanã
kɹaft,krɑxt,kɾaft,kraft,kʁɑft,gərafdʏr,,kraɸtuz
kɹɔːl,krɑbələn,kɾabəln,kravla,kʁɑwlə,gərabla,,kraβblɔːnã
kɹab,krɑp,kɾapə,kraba,kʁɑbə,gərabɪ,,kraβbɔːː
kɹɛvɪs,kreːft,kɾeːps,krɛfta,,,,kraβitaz
kɹəʊ,kraːjən,kɾɛːən,,,,,kreːanã
kɹəʊ,kraːj,kɾɛːə,,,,,kreːɔ̃ː
,,,,,gəraɪːʋʏr,,kreːβiz
,,kɾiːçən,,,,,kreukanã
kɹiːp,krœypən,kɾaʊfən,kryːpa,kʁybə,gərjuːba,,kreupanã
,,,krysta,,gəreɪsda,kriustan,kreustanã
,,kɾeːbə,,,,,kreβɔːː
,krɛɪsən,kɾaɪʃən,,,,,kriːskanã
,krɛɪtən,kɾaɪsən,,,,kriːtan,kriːtanã
kɹɪmp,krɪmpən,kɾɪmpfən,krympa,kʁʔœmpə,gərɛhba,,krimpanã
,krɪŋən,,,,,,kriŋganã
,krɪŋ,kɾɪŋəl,,,gəriŋgʏr,,kriŋgaz
kɹɪb,krɪp,kɾɪpə,krɵba,kʁʔybə,gərʏba,,kriβjɔ̃ː
kɹɒtʃ,,,kruːk,kʁɒw,gəroʊːgʏr,,krɔːkaz
kɹaʊd,krœyən,kɾoːdən,,,,,kruːðanã
kɹʌm,krœym,kɾʊmə,kroːm,kʁɒmə,gərʏːmʏr,,kruːmɔːː
kɹʌtʃ,krɵk,kɾykə,krykːa,,,krukkja,krukjɔː
kɹʌm,,kɾʊmə,krɵma,kʁɒmə,gərʏːmʏr,,krumɔːː
kɹʌmp,krɔm,kɾʊm,,,,,krumpaz
kɹʌmp,,kɾʊmpfən,,,,,krumpɔːnã
,krɔŋkən,,,,,,krunkɔːnã
kɹɪpəl,krøːpəl,kɾypəl,krymplɪŋ,kʁʔœbəl,gərɪhbɪtl,,krupilaz
kɹuːp,krɔp,kɾɔpf,krɔp,kɐ̯ʔʌp,gərɔhbʏr,,kruppaz
,,,,,citl,,kuːliz
,kœyl,kaʊlə,kʉla,kulə,kuːla,,kuːlɔ̃ː
kuːt,kut,kaʊts,,,,,kuːts
kaʊ,ku,kuː,kuː,kʔo,ciːr,,kuːz
kɒd,kɔdə,koːdən,kɵdə,kʔʌðə,kɔdɪ,,kuðdɔːː
kʌtəl,,,,,,,kuðilɔ̃ː
,kɵdə,kytə,,,,,kuðjã
,,,,,,kukjan,kukjanã
kɒk,kɔk,,kʉk,kʔʌk,kɔhgʏr,,kukkaz
kəʊl,koːl,koːlə,kuːl,kɒl,kɔːl,,kulã
,,,kɔlv,kʔʌlʋ,koʊlʋʏr,,kulbaz
kəʊlt,,,kɵlt,kul,,,kultaz
,,,kɵl,kul,,,kulθaz
kəʊm,kɔm,kʊmpf,,,,,kumbaz
,,,kɵməl,,kʏml,,kumblã
,kɔmər,kʊmɜ,,,,,kumbraz
kʌm,,,,,,kʷums,kumiz
,kɔmst,kʊnft,,,kʏnd,kʷumθs,kumθiz
,,,,,,kunds,kundaz
,,,,,cɪnda,,kundijanã
kɪŋdəm,koːnɪŋdɔm,køːnɪçtuːm,kɵŋadøːmə,kʔʌŋədʔœmə,kɔːnuŋgdoʊmʏr,,kuniŋgaðɔːmaz
,koːnɪŋkrɛɪk,køːnɪgɾaɪç,kɵŋariːkə,kʔʌŋeʁiə,kɔːnuŋxsəriɟɪ,,kuniŋgariːkijã
kɪŋ,koːnɪŋ,køːnɪç,kuːnɵŋ,kʔʌŋə,kɔːnuŋgʏr,,kuniŋgaz
,,,,,kɔːnʏr,,kuniz
kɪn,kɵnə,kynə,ɕøːn,kʔœn,cɪːn,kuni,kunjã
,,,,,,kunnan,kunnaːnã
kan,kɵnən,kœnən,kɵna,kʔunə,kʏnna,kunnan,kunnanã
kʌnt,kɔnt,kʊnt,kɵnta,kʔundə,kʏnda,,kuntɔ̃ː
kuːθ,kɔnt,kʊnt,kɵnd,kɒn,kʏnnʏr,kunθs,kunθaz
,kɵndəx,kʊndɪç,kɵnɪg,,kʏnnɪɣʏr,,kunθiːɣaz
,,,,,cɪnnɪ,kunθi,kunθijã
kaɪð,kɔndən,kyndən,ɕyna,kʔœnə,cɪnna,kunθjan,kunθijanã
kɒp,kɔp,kɔpf,kɔp,kʔʌp,kɔhbʏr,,kuppaz
kɜːf,,,kɔrv,,kʏrrfʏr,,kurbiz
kɔːn,koːrən,kɔɾn,kuːrn,kɒn,kɔrdn,kɔːrn,kurnã
,,kɔɾnhaʊs,,,,,kurnaxuːsã
,,,,,,kɔːrus,kuruz
,kɔɾrən,kʊrən,kɵra,kʔuɐ̯ʔʌ,kɔrɾra,,kurzɔːnã
kɪs,kɵs,kʊs,ɕys,kœs,kɔss,,kussaz
kɪs,kɵsən,kysən,ɕysa,kʔœsə,cɪssa,,kussijanã
,kɵst,,,,,kusts,kustiz
kɒstən,kɔstən,kɔstən,kɔsta,,kɔsda,,kustɔːnã
