English,Dutch,German,Swedish,Danish,Icelandic,Gothic,Proto-Germanic
,,aɪnhɛndɪç,ɛnhənt,,eɪnhɛndʏr,,ainaxandijaz
,,,,,eɪnharðʏr,,ainaxarduz
,,aɪnlɔøfɪç,,,eɪnleɪbʏr,,ainaxlaupiz
,,,,,,ɛːnahaː,ainaxɔːː
wɒn,eːn,aɪn,ɛn,ʔen,eɪdn,ɛːns,ainaz
,,,ɛn,enə,eɪːnɪr,,ainijaz
eə,ɪːr,eːɜ,arla,ɒɒlə,aʊdla,ɛːr,airi
,,,,,aʊrdaɣar,,airiðaɣaz
,,,,,aʊrdna,ɛːrinoːn,airinɔːnã
,,,,,aʊrʋagʏr,,airiwakraz
eə,ɪːr,eːɜ,,,,ɛːris,airiz
ɔː,,,oːr,ɒ,aʊːr,,airɔː
,,,ɛːrəndə,aɐ̯nə,eɪːɾrɛndɪ,,airundijã
ɔː,,,,,aʊːr,ɛːrus,airuz
,,,ajsa,,eɪːsa,,aisɔ̃ː
,,,,,eɪːsa,,aisɔːnã
,,,,,,ɛːstan,aistaːnã
,,,,,eɪsda,,aistɔːː
əʊt,eːt,,,,,,aitaz
,,,,,eɪːdɪtl,,aitilaz
atə,ɛtər,aɪtɜ,ɛtːər,ʔeðʔʌ,eɪːdʏr,,aitrã
atə,ɛtərən,aɪtɜn,,,eɪːdəra,,aitrɔːnã
aɪ,eʊ,jeː,ɛː,,aɪː,ɛːws,aiwaz
,eʊən,,,,,,aiwijanã
,,aɪvɪsk,,,,ɛːwisks,aiwiskaz
ɛtʃ,,,,,,ajuks,aiwukiz
ɔːt,vrɑxt,fraxt,ɛt,εt,aʊhd,ɛːhts,aixtiz
,,,,,,ɛːhtroːn,aixtrɔːnã
ɔː,,eːɜn,ɛrj,ɛɐ̯,eɪːr,ɛːz,aiz
,ɪːrən,eːrən,,,eɪːɾra,,aizaːnã
,ɪːr,eːrə,ɛːra,ɛʔʌ,eɪːr,,aizɔː
,,,,,aɪːʋʏr,ɛːɸrs,aiβraz
,,,,,eɪðsdaʋʏr,,aiθastaβaz
əʊθ,eːt,aɪt,eːd,ʔeð,eɪːðʏr,ɛːθs,aiθaz
,,,,,eɪːða,ɛːθiː,aiθĩː
ɛdʒ,ɛɪ,aɪ,ɛg,εg,ɛg,,ajjã
eɪsiː,,aʊx,,,,ak,ak
eɪk,,,oːka,agə,aːga,,akanã
eɪk,,eːk,,,,,akiz
eɪkəmən,,akɜman,,,aːgʏrmaðʏr,,akramann
eɪkɔːn,aːkər,akeːrɑːn,ɑːkɑːrn,agɛɐ̯n,aːgardn,akran,akranã
,,akɜvɛɾk,,,aːgʏrʋɛrrg,,akrawerkã
eɪkə,ɑkər,akɜ,oːkər,ajʌ,aːgʏr,akrs,akraz
aks,ɑks,akst,yːksa,ʔœksə,œksɪ,akʷizi,akʷisiː
ɔːl,,,,,,,ala-
,,,,,,alamans,alamann-
ɒlmaɪti,ɑlmɑxtəx,almɛçtɪç,alsməktɪg,,almaʊhdʏɣʏr,,alamaxtiːɣaz
,,,ɵpala,,alaː,alan,alanã
,,ɑlarɪç,,,,alariːks,alariːks
ɛlsɪn,ɛls,ɑlɛsnə,,,,alisna,alasnɔː
ɛlt,,,ɛlta,εldə,ɛlda,,alatjanã
,,,,,alʋaldʏr,,alawaldɔːː
ɔːl,,,,,alʏːr,,alaz
,,,,,alθjoʊːð,,alaθeuðɔː
,,ɛlbə,ɛlv,εlʋ,ɛlʋʏr,,albiː
ɛlgə,,,,,aʊlfgeɪr,,albiɣaizaz
ɛlvɪt,ɛlft,,,,aʊlfd,,albits
,,,alvar,,aʊlʋar,,albixarjaz
ɛlf,ɑlf,alp,ɛlva,εlʋ,aʊlʋʏr,,albiz
əʊld,ʌʊt,alt,,,aldɪn,alθiːs,aldaz
,,,,,ɛlda,,aldijanã
,,,,ʔʌl,œld,alds,aldiz
,,,ɔlə,,aldaː,,aldɔ̃ː
ɔːldəmən,,altɜ,oːldər,alʔʌ,aldʏːr,,aldrã
,,,,,ɛlɟa,,algijanã
,,,ɛlj,εlj,ɛlgʏr,,algiz
